Dataset Name,App,Level,Compression Ratio,Compression Speed,Decompression Speed,Status
dataset_silesia_ooffice.tar,les,2,0.65953,11.04,142.63,OK
dataset_silesia_ooffice.tar,les,3,0.65332,10.74,139.5,OK
dataset_silesia_ooffice.tar,les,4,0.64937,9.69,142.59,OK
dataset_silesia_ooffice.tar,les,5,0.64759,9.89,138.7,OK
dataset_silesia_ooffice.tar,les,6,0.6472,8.68,127.64,OK
dataset_silesia_ooffice.tar,les,7,0.64708,9.71,135.02,OK
dataset_silesia_ooffice.tar,les,8,0.64705,9.47,116.99,OK
dataset_silesia_ooffice.tar,les,9,0.64705,9.35,124.12,OK
dataset_silesia_ooffice.tar,lz4,1,0.70396,269.68,414.8,OK
dataset_silesia_ooffice.tar,lz4,3,0.58558,58.22,399.18,OK
dataset_silesia_ooffice.tar,lz4,5,0.57773,45.81,384.06,OK
dataset_silesia_ooffice.tar,lz4,7,0.57569,34.53,371.92,OK
dataset_silesia_ooffice.tar,lz4,9,0.57528,30.1,382.58,OK
dataset_silesia_ooffice.tar,gzip,1,0.5345,51.44,104.51,OK
dataset_silesia_ooffice.tar,gzip,3,0.51816,42.75,118.59,OK
dataset_silesia_ooffice.tar,gzip,5,0.50539,30.02,128.4,OK
dataset_silesia_ooffice.tar,gzip,7,0.5018,17.47,126.35,OK
dataset_silesia_ooffice.tar,gzip,9,0.50135,12.29,127.46,OK
dataset_silesia_ooffice.tar,zstd,1,0.58509,217.3,555.66,OK
dataset_silesia_ooffice.tar,zstd,3,0.51,114.01,435.11,OK
dataset_silesia_ooffice.tar,zstd,5,0.48494,64.38,456.81,OK
dataset_silesia_ooffice.tar,zstd,7,0.4718,47.61,429.04,OK
dataset_silesia_ooffice.tar,zstd,9,0.46588,36.09,390.87,OK
dataset_silesia_ooffice.tar,zstd,11,0.4622,17.86,478.76,OK
dataset_silesia_ooffice.tar,zstd,13,0.46152,7.89,433.37,OK
dataset_silesia_ooffice.tar,zstd,15,0.46035,6.45,412.03,OK
dataset_silesia_ooffice.tar,zstd,17,0.43677,3.53,326.82,OK
dataset_silesia_ooffice.tar,bzip2,1,0.48718,13.23,23.81,OK
dataset_silesia_ooffice.tar,bzip2,3,0.47329,14.41,22.52,OK
dataset_silesia_ooffice.tar,bzip2,5,0.46724,14.42,21.65,OK
dataset_silesia_ooffice.tar,bzip2,7,0.46456,15.55,23.3,OK
dataset_silesia_ooffice.tar,bzip2,9,0.46451,14.79,22.82,OK
dataset_silesia_osdb.tar,les,1,0.81243,11.66,174.8,OK
dataset_silesia_osdb.tar,les,2,0.77325,9.89,144.76,OK
dataset_silesia_osdb.tar,les,3,0.76813,9.71,174.96,OK
dataset_silesia_osdb.tar,les,4,0.76537,9.96,180.68,OK
dataset_silesia_osdb.tar,les,5,0.76369,9.53,158.99,OK
dataset_silesia_osdb.tar,les,6,0.76346,9.26,153.43,OK
dataset_silesia_osdb.tar,les,7,0.76339,9.09,152.52,OK
dataset_silesia_osdb.tar,les,8,0.76334,8.96,145.88,OK
dataset_silesia_osdb.tar,les,9,0.7633,9.26,149.6,OK
dataset_silesia_osdb.tar,lz4,1,0.52111,316.32,472.1,OK
dataset_silesia_osdb.tar,lz4,3,0.4017,78.72,460.14,OK
dataset_silesia_osdb.tar,lz4,5,0.39592,52.17,512.28,OK
dataset_silesia_osdb.tar,lz4,7,0.39504,49.86,481.42,OK
dataset_silesia_osdb.tar,lz4,9,0.395,47.64,494.31,OK
dataset_silesia_osdb.tar,gzip,1,0.40308,77.73,158.49,OK
dataset_silesia_osdb.tar,gzip,3,0.39408,57.48,153.2,OK
dataset_silesia_osdb.tar,gzip,5,0.37612,42.73,156.75,OK
dataset_silesia_osdb.tar,gzip,7,0.36852,27.52,154.05,OK
dataset_silesia_osdb.tar,gzip,9,0.36809,24.2,159.46,OK
dataset_silesia_osdb.tar,zstd,1,0.36931,267.78,754.08,OK
dataset_silesia_osdb.tar,zstd,3,0.34732,155.12,720.21,OK
dataset_silesia_osdb.tar,zstd,5,0.33984,77.11,677.65,OK
dataset_silesia_osdb.tar,zstd,7,0.33275,53.27,645.65,OK
dataset_silesia_osdb.tar,zstd,9,0.33096,43.03,665.75,OK
dataset_silesia_osdb.tar,zstd,11,0.31951,19.23,632.0,OK
dataset_silesia_osdb.tar,zstd,13,0.31262,10.04,603.66,OK
dataset_silesia_osdb.tar,zstd,15,0.30974,8.09,717.3,OK
dataset_silesia_osdb.tar,zstd,17,0.30448,3.39,502.46,OK
dataset_silesia_osdb.tar,bzip2,1,0.37211,15.47,28.94,OK
dataset_silesia_osdb.tar,bzip2,3,0.30921,16.79,28.84,OK
dataset_silesia_osdb.tar,bzip2,5,0.29149,15.33,26.61,OK
dataset_silesia_osdb.tar,bzip2,7,0.28306,16.0,28.84,OK
dataset_silesia_osdb.tar,bzip2,9,0.27761,15.75,27.17,OK
dataset_silesia_webster.tar,les,1,0.55813,13.25,152.37,OK
dataset_silesia_webster.tar,les,2,0.48705,12.73,156.03,OK
dataset_silesia_webster.tar,les,3,0.47747,12.08,149.14,OK
dataset_silesia_webster.tar,les,4,0.47492,12.03,149.46,OK
dataset_silesia_webster.tar,les,5,0.47438,11.4,154.89,OK
dataset_silesia_webster.tar,les,6,0.47424,11.8,146.26,OK
dataset_silesia_webster.tar,les,7,0.47418,11.79,152.87,OK
dataset_silesia_webster.tar,les,8,0.47414,12.09,162.01,OK
dataset_silesia_webster.tar,les,9,0.47413,12.06,149.88,OK
dataset_silesia_webster.tar,lz4,1,0.48597,290.13,573.4,OK
dataset_silesia_webster.tar,lz4,3,0.356,77.53,576.05,OK
dataset_silesia_webster.tar,lz4,5,0.34238,50.79,566.97,OK
dataset_silesia_webster.tar,lz4,7,0.33912,35.16,439.93,OK
dataset_silesia_webster.tar,lz4,9,0.33835,26.18,480.33,OK
dataset_silesia_webster.tar,gzip,1,0.36123,74.86,150.7,OK
dataset_silesia_webster.tar,gzip,3,0.32839,59.6,151.42,OK
dataset_silesia_webster.tar,gzip,5,0.29988,38.89,161.77,OK
dataset_silesia_webster.tar,gzip,7,0.29228,22.71,171.72,OK
dataset_silesia_webster.tar,gzip,9,0.29091,16.51,165.74,OK
dataset_silesia_webster.tar,zstd,1,0.3297,239.07,761.23,OK
dataset_silesia_webster.tar,zstd,3,0.29263,155.39,669.78,OK
dataset_silesia_webster.tar,zstd,5,0.27088,83.33,701.01,OK
dataset_silesia_webster.tar,zstd,7,0.25524,51.02,775.97,OK
dataset_silesia_webster.tar,zstd,9,0.24775,37.76,776.14,OK
dataset_silesia_webster.tar,zstd,11,0.24012,18.45,696.14,OK
dataset_silesia_webster.tar,zstd,13,0.23775,6.65,754.63,OK
dataset_silesia_webster.tar,zstd,15,0.2312,3.87,740.48,OK
dataset_silesia_webster.tar,zstd,17,0.2159,2.3,662.33,OK
dataset_silesia_webster.tar,bzip2,1,0.24875,15.15,35.99,OK
dataset_silesia_webster.tar,bzip2,3,0.22572,14.03,31.7,OK
dataset_silesia_webster.tar,bzip2,5,0.21703,14.36,31.1,OK
dataset_silesia_webster.tar,bzip2,7,0.21214,13.9,30.57,OK
dataset_silesia_webster.tar,bzip2,9,0.20851,13.2,29.37,OK
dataset_silesia_sao.tar,les,1,0.90906,10.47,148.6,OK
dataset_silesia_sao.tar,les,2,0.8664,9.79,151.77,OK
dataset_silesia_sao.tar,les,3,0.85993,9.58,154.71,OK
dataset_silesia_sao.tar,les,4,0.8583,9.45,153.32,OK
dataset_silesia_sao.tar,les,5,0.85789,9.14,147.56,OK
dataset_silesia_sao.tar,les,6,0.8578,9.5,146.98,OK
dataset_silesia_sao.tar,les,7,0.85774,8.98,142.55,OK
dataset_silesia_sao.tar,les,8,0.85771,8.56,120.1,OK
dataset_silesia_sao.tar,les,9,0.85771,8.95,131.29,OK
dataset_silesia_sao.tar,lz4,1,0.93534,250.71,419.3,OK
dataset_silesia_sao.tar,lz4,3,0.80893,44.54,390.57,OK
dataset_silesia_sao.tar,lz4,5,0.79539,31.23,434.65,OK
dataset_silesia_sao.tar,lz4,7,0.79079,27.35,404.05,OK
dataset_silesia_sao.tar,lz4,9,0.79029,25.3,408.04,OK
dataset_silesia_sao.tar,gzip,1,0.76699,43.87,121.06,OK
dataset_silesia_sao.tar,gzip,3,0.74936,33.77,124.56,OK
dataset_silesia_sao.tar,gzip,5,0.73979,22.47,129.99,OK
dataset_silesia_sao.tar,gzip,7,0.73401,15.44,122.67,OK
